City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
139,chui,-33.6971,-53.4616,10.16,76,100,6.21,UY,1689287831
140,ca mau,9.1769,105.15,26.39,85,100,1.4,VN,1689287832
141,san miguel,13.4833,-88.1833,36.78,44,20,1.54,SV,1689287619
142,mbeya,-8.9,33.45,11.02,91,37,2.99,TZ,1689287832
143,port saint john's,-31.6229,29.5448,14.6,82,13,2.34,ZA,1689287832
144,cotonou,6.3654,2.4183,25.99,89,20,3.6,BJ,1689287832
145,port alfred,-33.5906,26.891,12.32,95,0,6.46,ZA,1689287833
146,rongelap,11.1635,166.8941,28.2,80,49,7.75,MH,1689287833
147,daru,-9.0763,143.2092,25.48,80,97,7.08,PG,1689287833
148,mirnyy,62.5353,113.9611,10.13,93,87,3.13,RU,1689287833
149,kidal,18.4411,1.4078,33.86,29,71,3.67,ML,1689287834
150,williams lake,52.1415,-122.1445,19.76,52,100,0.0,CA,1689287834
151,medyn',54.9692,35.8586,13.64,82,66,2.36,RU,1689287834
152,punta arenas,-53.15,-70.9167,-1.94,86,0,2.06,CL,1689287834
153,antofagasta,-23.65,-70.4,17.6,74,60,2.13,CL,1689287746
154,rio segundo,-31.6526,-63.9099,8.54,75,29,2.67,AR,1689287835
155,eyl,7.9803,49.8164,25.86,71,34,11.06,SO,1689287835
156,prado,-17.3411,-39.2208,23.17,85,7,5.56,BR,1689287835
157,igarka,67.4667,86.5833,5.45,65,57,2.73,RU,1689287836
158,port elizabeth,-33.918,25.5701,15.16,88,0,5.14,ZA,1689287836
159,waiuku,-37.25,174.75,15.93,82,64,5.38,NZ,1689287836
160,noosa heads,-26.3833,153.15,15.19,75,38,3.47,AU,1689287836
161,mata-utu,-13.2816,-176.1745,27.84,79,84,7.98,WF,1689287776
162,teluk nibung,3.001,99.8164,24.18,92,100,1.41,ID,1689287837
163,west island,-12.1568,96.8225,25.99,78,40,6.17,CC,1689287837
164,lompoc,34.6391,-120.4579,35.43,64,20,3.6,US,1689287837
165,minas de marcona,-15.2119,-75.1103,13.24,84,17,6.33,PE,1689287838
166,el granada,37.5027,-122.4694,32.75,67,0,6.69,US,1689287838
167,port mathurin,-19.6833,63.4167,23.8,78,15,7.25,MU,1689287838
168,ola,59.5833,151.2833,15.08,80,56,1.27,RU,1689287601
169,gadzhiyevo,69.2551,33.3362,11.33,69,98,3.86,RU,1689287594
170,kapuskasing,49.4169,-82.4331,25.05,36,75,3.6,CA,1689287839
171,turkmenbasy,40.0222,52.9552,22.43,53,0,5.14,TM,1689287839
172,talpa de allende,20.3833,-104.8167,26.26,69,62,1.1,MX,1689287839
173,vila franca do campo,37.7167,-25.4333,21.23,90,56,2.73,PT,1689287839
174,goure,13.9835,10.2704,32.72,34,19,2.87,NE,1689287840
175,olyokminsk,60.3736,120.4264,17.92,53,61,2.73,RU,1689287720
